step_order,Timestamp,x_dif,y_dif,z_dif,rx_dif,ry_dif,rz_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,x_t,y_t,z_t,rx_t,ry_t,rz_t
10,20200714164055,0.8,0.6,0.8,1.7453299999999998,1.5708,1.5708,-122.66797210632875,-117.99034466688069,-60.32615329152925,-1.8066848970742138,22.623467723858607,0.10424164941492145,1685.1566,-1664.9496,-516.80057,-92.14226599999999,-51.273027,-92.54518
11,20200714164110,0.8,0.6,0.8,1.5708,0.8726649999999999,1.5708,-123.7921153003754,-115.06997878509888,-64.65484943374263,-0.3331394344852756,33.792706982138874,39.932178940083695,1686.7887,-1662.9381999999998,-516.2870400000002,-92.180154,-60.746682,-52.861785999999995
12,20200714164117,0.8,0.6,0.8,1.5708,1.0472,1.5708,-123.78122910226791,-115.08831343454307,-64.62219083942017,-0.3249157712517629,33.69857001639888,29.961452797658087,1686.8266,-1662.9080999999999,-516.28625,-92.18789600000001,-60.809461999999996,-62.807047
13,20200714164124,0.8,0.6,0.8,1.5708,1.22173,1.5708,-123.7938341737608,-115.07456244745994,-64.65427647594747,-0.324232805559967,33.77689334699326,20.000237754631645,1686.8095,-1662.8093,-516.43089,-92.22695300000001,-61.038031000000004,-72.878352
14,20200714164130,0.8,0.6,0.8,1.5708,1.39626,1.5708,-123.77779135549714,-115.0888863923382,-64.62390971280554,-0.31600914232644856,33.67381823964923,9.955370873516106,1686.9091,-1662.8213999999998,-516.3774700000001,-92.218102,-61.11291400000001,-82.90881800000001
15,20200714164144,0.8,0.6,0.8,1.5708,1.7453299999999998,1.5708,-123.79039642699003,-115.06768695391835,-64.65886013830853,-0.3455153228601014,33.752141570243616,-10.019141076114167,1686.9673,-1662.6410000000003,-516.44864,-92.29194100000001,-61.490968,-102.93570000000001
16,20200714164151,0.8,0.6,0.8,1.5708,1.91986,1.5708,-123.77779135549714,-115.1129506197337,-64.62390971280554,-0.14107424127490642,33.72738979349396,-20.12594469488335,1686.996,-1662.7215999999999,-516.4598,-92.076231,-61.627267,-112.75917000000001
17,20200714164158,0.8,0.6,0.8,1.5708,2.0944,1.5708,-123.78581276462897,-115.07227061627943,-64.66287084287444,-0.318741005093638,33.77895599505574,-29.912063835717813,1686.9565,-1662.7294,-516.5564499999999,-92.28220200000001,-61.840613,-122.82785000000001
18,20200714164204,0.8,0.6,0.8,1.5708,2.26893,1.5708,-123.78581276462897,-115.10034554824081,-64.62333675501043,-0.25907260735091897,33.72051429995239,-40.021732243462644,1686.9431,-1662.5751,-516.4472099999999,-92.194305,-61.937422000000005,-132.80998999999997
19,20200714164220,0.8,0.6,0.8,1.5708,1.5708,1.39626,-122.6599506971969,-118.0241491767934,-60.3049538531094,-1.5837470189888163,22.621405075796137,-0.18167288472228632,1685.2812000000001,-1665.0289,-516.80035,-91.841668,-51.28848,-92.351494
20,20200714164224,0.8,0.6,0.8,1.5708,1.5708,1.43117,-122.84558902281928,-117.39217672876411,-61.24345872153369,-1.480832339827418,24.74358345318119,0.0185394245601661,1685.4541000000002,-1664.5692999999999,-516.9149,-92.02057400000001,-53.231777,-92.525379
21,20200714164229,0.8,0.6,0.8,1.5708,1.5708,1.4660799999999998,-123.05185382906639,-116.77051752104717,-62.16248302492354,-1.1686906626180966,26.94609051344359,0.020577893803676812,1685.8869,-1664.0979999999995,-516.8686299999999,-92.084056,-55.257931000000006,-92.60010000000001
22,20200714164233,0.8,0.6,0.8,1.5708,1.5708,1.50098,-123.28504765168464,-116.18610057001372,-63.0391084514737,-0.7804086240138404,29.255683385615935,-0.10421873110311623,1686.2185,-1663.7017999999998,-516.8539599999999,-92.08023800000001,-57.343651,-92.683477
