,x_t,y_t,z_t,x_m,y_m,z_m,j1_t,j2_t,j3_t,j4_t,j5_t,j6_t
53,-0.459626666,-0.385672566,0.177777778,-0.483634494,-0.408440823,0.176207309,0.482537344,-1.154332771,1.705401271,-0.550783451,1.335253333,1.536459844
54,-0.434091851,-0.364246312,0.177777778,-0.458064792,-0.386909197,0.176198591,0.467452966,-1.223293062,1.807387713,-0.583808532,1.320168956,1.536455401
55,-0.408557036,-0.342820058,0.177777778,-0.432552708,-0.365386788,0.1762913629999999,0.450075675,-1.292774696,1.904894188,-0.611832048,1.302791666,1.536450239
56,-0.383022222,-0.321393805,0.177777778,-0.406908821,-0.343900959,0.176321246,0.429832734,-1.36365727,1.998496219,-0.634549836,1.282548727,1.536444163
57,-0.357487407,-0.299967551,0.177777778,-0.381436751,-0.322384845,0.176477303,0.405940242,-1.43693231,2.088603805,-0.651380232,1.258656237,1.536436896
58,-0.331952592,-0.278541298,0.177777778,-0.35592538,-0.300895835,0.176497274,0.377293146,-1.513791786,2.175480651,-0.661394759,1.230009144,1.536428034
59,-0.306417777,-0.257115044,0.177777778,-0.33031947,-0.279420163,0.17655814,0.342280082,-1.59578985,2.25928178,-0.663193942,1.194996087,1.536416958
60,-0.306417777,-0.257115044,0.233333333,-0.330664308,-0.279259675,0.231998252,0.342280073,-1.684746843,2.171264301,-0.486219573,1.194996041,1.536417154
61,-0.331952592,-0.278541298,0.233333333,-0.356222231,-0.300759717,0.231861668,0.377293147,-1.598255307,2.092274835,-0.493725483,1.230009149,1.536428189
62,-0.357487407,-0.299967551,0.233333333,-0.3817252659999999,-0.322288611,0.231766062,0.405940313,-1.516669621,2.009351292,-0.492390458,1.25865631,1.536437041
63,-0.383022222,-0.321393805,0.233333333,-0.407236505,-0.343832767,0.231762158,0.429833208,-1.438651462,1.92243374,-0.483493206,1.282549202,1.536444296
64,-0.408557036,-0.342820058,0.233333333,-0.4328124399999999,-0.36530497,0.231682218,0.450076333,-1.36309637,1.831307248,-0.46792347,1.302792325,1.53645036
65,-0.434091851,-0.364246312,0.233333333,-0.458372107,-0.386872109,0.231578316,0.467453713,-1.289041833,1.735589148,-0.446261226,1.320169704,1.536455511
66,-0.459626666,-0.385672566,0.233333333,-0.48389126,-0.408381065,0.231527725,0.482536936,-1.215599091,1.634701989,-0.418817877,1.335252926,1.536459945
67,-0.485161481,-0.407098819,0.233333333,-0.509488072,-0.429849934,0.231362925,0.495758296,-1.141854586,1.527783164,-0.385644433,1.348474285,1.536463805
68,-0.510696295,-0.428525073,0.233333333,-0.535108532,-0.451343397,0.231195138,0.507441649,-1.066842212,1.413628616,-0.346502989,1.360157638,1.536467197
69,-0.53623111,-0.449951327,0.233333333,-0.56073246,-0.472826815,0.231064837,0.517842823,-0.989366499,1.290429576,-0.300780278,1.370558811,1.536470203
70,-0.53623111,-0.449951327,0.288888889,-0.561082153,-0.472829426,0.286624966,0.517842822,-1.02189565,1.196559886,-0.17438152,1.3705588,1.536470139
71,-0.510696295,-0.428525073,0.288888889,-0.535477637,-0.45129606,0.28684096,0.507440734,-1.104087208,1.322897214,-0.218526567,1.360156722,1.536467099
72,-0.485161481,-0.407098819,0.288888889,-0.509807545,-0.429777031,0.286914684,0.49575753,-1.183219158,1.438562655,-0.255059327,1.348473518,1.536463706
73,-0.459626666,-0.385672566,0.288888889,-0.4842421739999999,-0.408331358,0.286919278,0.482537513,-1.260691551,1.545800722,-0.284824123,1.335253503,1.536459842
74,-0.434091851,-0.364246312,0.288888889,-0.4587254879999999,-0.3867685609999999,0.287103535,0.467453257,-1.337584324,1.646065659,-0.308195218,1.320169247,1.536455402
75,-0.408557036,-0.342820058,0.288888889,-0.4331931149999999,-0.365210815,0.287286947,0.450076136,-1.414823722,1.740332234,-0.32522107,1.302792128,1.536450244
76,-0.383022222,-0.321393805,0.288888889,-0.4076363349999999,-0.343720599,0.287172996,0.429833451,-1.49327629,1.829251006,-0.335685607,1.282549445,1.536444171
77,-0.357487407,-0.299967551,0.288888889,-0.382116344,-0.322164514,0.287319424,0.405940313,-1.573808283,1.913227112,-0.339127572,1.258656309,1.536436909
78,-0.331952592,-0.278541298,0.288888889,-0.356527298,-0.30061325,0.287328917,0.377293146,-1.657368628,1.99249268,-0.334829956,1.230009146,1.536428055
79,-0.306417777,-0.257115044,0.288888889,-0.330996742,-0.2791434949999999,0.287341274,0.342280083,-1.745013182,2.067095804,-0.321784646,1.194996089,1.536416989
80,-0.306417777,-0.257115044,0.344444444,-0.331391226,-0.279075254,0.342760852,0.342280074,-1.780049382,1.948521303,-0.168174,1.194996045,1.536417065
81,-0.331952592,-0.278541298,0.344444444,-0.356899405,-0.300570732,0.342923946,0.377293147,-1.693291479,1.877524157,-0.183938628,1.230009149,1.53642818
