x_t,y_t,z_t,x_m,y_m,z_m,j1_target,j2_target,j3_target,j4_target,j5_target,j6_target
-0.6509262775805698,-0.15537275969692985,0.06682376041239999,-0.6508907810817867,-0.15504721858621004,0.06668472434633844,0.0718946288680282,-0.8695074379527923,1.6073319074211732,-0.8652445720968975,1.599972889843052,0.0088764990823166
-0.6183312096682293,-0.14814030273094753,0.06742769458025566,-0.6182597372420523,-0.14775470663925533,0.06720315913435448,0.0586464307687317,-0.9200530466195644,1.7637631467022086,-1.1289440433488551,1.5642987229154333,-0.0732786996607846
-0.5859738614236017,-0.14005961579302229,0.06685456302216672,-0.5859076887657879,-0.1397246519277903,0.0666392771488294,0.0463010584650369,-0.9853736642611453,1.8127305302320664,-0.904155863558131,1.5458959761589206,-0.0190421589824949
-0.553394141857836,-0.1325414017755263,0.067190449868687,-0.5533925872380147,-0.1321940052988895,0.06710073955636968,0.0407107821577565,-1.0323192517202182,1.9490242791746208,-1.1193575254000576,1.5831582092282712,-0.0412677995232826
-0.5205243862109349,-0.12557459288316503,0.06718852121475502,-0.5205808274782563,-0.1253365527942595,0.06703244016043955,-0.0261534177564173,-1.0870318370985856,2.0594509005727195,-1.199819792734624,1.231723625305131,0.1585987550041583
-0.48809600708616663,-0.11682883260929999,0.06569476086657923,-0.488130528426413,-0.11669765859385295,0.0655933926402169,-0.0437606738088458,-1.1429977501337167,2.0008801305358865,-0.5749626009624169,1.232274124926449,-0.0194769388526512
-0.4556209515053956,-0.11016429394547937,0.06725718424588936,-0.4557118969461835,-0.10992460519398245,0.06720435067509309,-0.0612323440698201,-1.1888832695266534,2.252704697244697,-1.2970005658285573,1.248648911308056,0.1264626892969635
-0.42352447374253677,-0.1020287905798717,0.0676134557879618,-0.42348373035012654,-0.10169719634046265,0.06759118585468557,-0.0292275813613982,-1.2212735575734894,2.3521901565719787,-1.4228679078673356,1.533570244748482,-0.1619885646095622
-0.390760131954462,-0.09479576205993338,0.06728357255665608,-0.390856338900077,-0.09453296975024979,0.06732409604405987,-0.1147155577045548,-1.2932417605817914,2.437704044397985,-1.3771337362164942,1.2360042774632856,0.153438734745039
-0.3772093455087784,-0.13854623630821522,0.06583114342196,-0.37725974147621777,-0.13833984016577996,0.06585850206571309,0.0011826779091044,-1.32553960069043,2.2959201300035845,-0.7146961479436706,1.23379226817912,0.0887982972826924
-0.4086267437718454,-0.15065275592997135,0.06717263058985339,-0.4086786860079941,-0.1503988945064328,0.06713902412497567,0.0454059736134921,-1.2495894664118945,2.329791669659789,-1.249539448125795,1.320023046648406,0.1193321343986046
-0.44038236972951544,-0.16086406494825353,0.06614775852430524,-0.440268543715802,-0.16069114271482426,0.06596272564768858,0.0988887145863786,-1.2059181223804762,2.113352776911663,-0.682989759154697,1.4931328703287132,-0.0317193495515817
-0.471888271739628,-0.1724745786862205,0.06701311009596193,-0.47178895091298123,-0.1721254315741892,0.06673461258446198,0.1493260833572742,-1.1458841447363546,2.0863389831661205,-0.9613565418257576,1.6918980822762384,0.0217878906999433
-0.5028132262515531,-0.18469749972563293,0.06749989248219013,-0.5028455056229221,-0.18433924269619592,0.0673760860841988,0.1385609060264596,-1.0773365370738417,2.0657399301185624,-1.258264192596826,1.5429497897544584,-0.0733077746894568
-0.5344673913323144,-0.19550533356781816,0.06708739361709715,-0.5344595555796842,-0.19511490174014828,0.06697571996137973,0.1753545327207204,-1.0330385450364288,1.92277965015833,-1.0243046485021252,1.7074119338213194,0.1059732485683548
-0.565952211813038,-0.2066420487483803,0.06664808033399071,-0.5659022097405486,-0.20624640662876087,0.06642826308350924,0.1829969054011098,-0.980091763516973,1.7698016407716928,-0.7602987388724678,1.692190182037832,-0.0973814716388505
-0.5971260888611969,-0.21792517402616773,0.06568167176574002,-0.5971066274761626,-0.21771572608150006,0.06556905290001074,0.1640391108359176,-0.9086803067758478,1.5845777012073397,-0.4187564366915888,1.4811731476274232,0.0426322723989747
-0.6285316801399389,-0.22967786836794982,0.06634442138394234,-0.6285324645852547,-0.2293961349489039,0.06625600251954465,0.1820667272265961,-0.8671058203632782,1.5598624210425829,-0.674777678528212,1.5505520908682886,0.031756102542527
-0.6598689913134874,-0.2412330376157703,0.06681910940228264,-0.6598897000343218,-0.24087272181836739,0.06678026260232099,0.2025322293019353,-0.8078142781023696,1.4970651242583335,-0.8499579941787503,1.6552606499538802,0.0329262173195541
-0.6598861647428083,-0.24100678315131804,0.12138990414992028,-0.6599075984359031,-0.24078310000778852,0.12130888341229404,0.1744486636260296,-0.8680839398096474,1.3692870424517194,-0.3931281423624551,1.4187923257074768,0.0150424045378931
-0.6287254625121714,-0.2293689185801599,0.1222124041051182,-0.6286673847441966,-0.22908552225974296,0.12205229772436912,0.1976392696535547,-0.9463564266245514,1.548595465212295,-0.6616747808213495,1.675291439591355,-0.1722466148600991
-0.5971860285297088,-0.21809558531042186,0.1217466364854747,-0.5971854375398699,-0.21786814104928462,0.12160206176169214,0.165353569296907,-1.0073638451418885,1.6218868757720264,-0.544276185370375,1.4911529131864372,-0.0902270772258964
-0.5656729674145732,-0.20708003218822557,0.12241482754591711,-0.5656938076405789,-0.20681671481070082,0.1222398616055705,0.1547101987318893,-1.0801647766414173,1.7985193835456208,-0.8428274287371176,1.4889241870409338,-0.0390801118617401
-0.5344287800448625,-0.19555349480226455,0.12283311130900455,-0.5343923886610905,-0.1952346982986126,0.12252134608215573,0.1605661724430453,-1.1375456317027357,1.9116466067006304,-0.9525569880351544,1.6068303964817083,0.0093963014789104
-0.5030581885874469,-0.1840386734212486,0.12262271096274137,-0.5030584457687493,-0.18374989233445915,0.122454208897261,0.1484956579054199,-1.199568958795404,1.9980442554713929,-0.9399060124850124,1.6059797696748603,0.106601304704883
-0.47154920044619664,-0.17284550396746673,0.12233129921197522,-0.47154915099645345,-0.1726610801291732,0.12224543141996129,0.1029682513402101,-1.2679430384417647,2.085717756206821,-0.9129946960326394,1.4163496567134448,0.153993620700791
-0.4404764833045063,-0.1608541023362211,0.12186837375321152,-0.44036545326247617,-0.16061672003974206,0.12173764816596025,0.1040854543683833,-1.3264165573365017,2.109247915305048,-0.6777380074450967,1.5217512036891376,-0.147712253241695
-0.40875068804574843,-0.15015886924282057,0.12310635511894283,-0.40878830121794796,-0.14994208331792092,0.1231030641883717,0.0898198371130498,-1.3705691619855245,2.328002065741477,-1.288343718719721,1.5472727546150793,0.0455090538356941
-0.377503886066353,-0.13872378751109302,0.12255561146281983,-0.3774887416455719,-0.13845449866099316,0.12254520999236393,0.0406019973947362,-1.4658113153440824,2.375417906359818,-1.0735578932482754,1.4209280163477531,-0.0317477634375911
-0.3911059928781394,-0.09372761455386804,0.12233535643405856,-0.3910198434811295,-0.09361908620379804,0.12226660950100474,-0.0821789191296491,-1.4718645603015563,2.3533341904711884,-0.968429025926408,1.3907905279808954,0.1718422014335248
