step_order,x_dif,y_dif,z_dif,rx_dif,ry_dif,rz_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,x_set,y_set,z_set,rx_set,ry_set,rz_set
44,-0.0845383,-0.570584,1.00444,3.06365,1.32731,1.42159,-4.45592,-2.65354,1.48539,-2.22923,1.25451,0.0994005,392.07777830000003,-3016.305916,-218.52255,-107.68947999999999,-16.893976,-94.57466799999999
45,-0.313721,-0.576396,0.881799,3.0944,1.45308,1.42808,-5.02554,-2.95203,1.67384,-1.98402,1.78631,-0.0211814,606.678131,-2932.263904,-342.934019,-100.23397299999999,-15.954558,-93.101254
46,-0.0581378,-0.432753,0.991785,3.07052,1.68162,1.66217,-4.37135,-2.6843,1.75927,-2.10443,1.39304,-0.0284217,417.8458478,-3153.984247,-236.59929499999998,-86.016805,-30.914907,-88.901908
47,-0.0100585,-0.821364,1.14152,3.44772,1.58316,1.46881,-4.34423,-2.56393,0.802359,-1.36364,0.794079,-0.00867588,230.3802685,-2806.583736,-86.724751,-92.966402,1.7674961000000002,-91.542311
48,0.0460485,-0.6869,1.11497,3.20553,1.3923,1.51006,-4.23151,-2.54923,1.09186,-1.90014,0.97414,0.10998,227.7339015,-2952.5641,-109.79207,-103.865,-14.032002,-94.798422
49,0.183488,-0.580673,1.19242,3.14673,1.84835,1.44376,-3.83867,-2.55762,1.06744,-1.16181,0.621795,-0.408032,134.41434199999998,-3099.601827,-39.960482,-77.027557,-13.95499,-88.19936299999999
50,-0.0713696,-0.897296,1.09164,3.60346,1.42676,1.43629,-4.43034,-2.56603,0.677195,-1.45426,0.697632,0.0895274,259.5266796,-2714.183204,-133.88801,-101.31351,12.84549,-93.395909
51,-0.231294,-0.663053,1.13259,2.89088,1.29124,1.52992,-4.93122,-2.4797,0.899721,-1.85881,1.99113,-0.0541876,503.440784,-2877.5828469999997,-89.587408,-111.34017,-32.528293,-97.46551600000001
52,-0.15859,-0.57144,1.10455,2.93044,1.25769,1.41491,-4.73113,-2.48813,1.16011,-2.12084,1.65058,0.0413471,463.69561,-2989.5494599999997,-117.09343,-112.13913000000001,-23.858512,-95.34962800000001
53,-0.0338275,-0.509566,1.04604,3.25597,1.30489,1.60209,-4.22089,-2.5256,1.43483,-2.36344,1.01365,0.13699,364.4867875,-3091.8107339999997,-176.46754,-109.02575,-15.818461000000001,-97.709722
54,0.0629079,-0.63505,0.997523,3.17153,1.43416,1.70649,-4.23347,-2.74233,1.48006,-2.02585,1.19987,0.0485515,233.3584721,-3005.82445,-227.770743,-102.101135,-27.257987,-96.078013
55,-0.0187323,-0.81509,1.00486,3.34309,1.65382,1.60438,-4.41927,-2.85326,1.2489,-1.44636,1.11005,-0.0244368,245.4162523,-2810.24521,-223.44576,-88.713037,-12.062636,-89.994589
56,-0.0146133,-0.787255,1.11338,3.09708,1.4711,1.70284,-4.5158,-2.59188,0.958561,-1.60791,1.55038,0.00566067,256.2622433,-2835.261345,-112.47397000000001,-99.90900900000001,-31.432911,-95.031742
57,-0.124599,-0.492546,1.02957,2.83057,1.40148,1.66793,-4.83669,-2.63963,1.47192,-2.16065,2.09879,-0.0436085,463.91312899999997,-3072.336954,-194.55618,-105.83292999999999,-44.327434,-97.806234
