step_order,Timestamp,x_dif,y_dif,z_dif,rx_dif,ry_dif,rz_dif,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,measurement_temperature,x_set,y_set,z_set,rx_set,ry_set,rz_set
79,20200714165041,0.8,0.6,0.5,1.5708,1.39626,1.5708,-2.16039,-2.12732,-1.49087,0.475541,0.588294,0.174113,23.6800003051758,1689.2189,-1659.8555,-815.71942,-92.196741,-61.10170200000001,-82.877763
80,20200714165054,0.8,0.6,0.5,1.5708,1.7453299999999998,1.5708,-2.16032,-2.12738,-1.49072,0.475505,0.587611,-0.173276,23.6800003051758,1689.3021,-1659.7811,-815.7285,-92.21888100000001,-61.388042000000006,-102.74544
81,20200714165101,0.8,0.6,0.5,1.5708,1.91986,1.5708,-2.16053,-2.12699,-1.49118,0.47499,0.589266,-0.348499,23.6800003051758,1689.3111000000001,-1659.7197999999999,-815.66519,-92.253112,-61.639086999999996,-112.89596
82,20200714165108,0.8,0.6,0.5,1.5708,2.0944,1.5708,-2.16055,-2.12695,-1.49141,0.475361,0.589446,-0.521824,23.6800003051758,1689.4141,-1659.6264999999999,-815.71461,-92.252189,-61.790325,-122.7793
83,20200714165115,0.8,0.6,0.5,1.5708,2.26893,1.5708,-2.16054,-2.1274900000000003,-1.49108,0.4783770000000001,0.590191,-0.699445,23.6800003051758,1689.4282,-1659.6671999999999,-815.71483,-92.06753900000001,-61.994893,-132.6839
84,20200714165130,0.8,0.6,0.5,1.5708,1.5708,1.39626,-2.14089,-2.16885,-1.42278,0.4522270000000001,0.393918,-0.00390083,23.6800003051758,1687.8889000000001,-1661.8309,-815.46302,-91.755161,-51.195419,-92.214037
85,20200714165134,0.8,0.6,0.5,1.5708,1.5708,1.43117,-2.14412,-2.15909,-1.43845,0.4536270000000001,0.432097,0.0002277,23.6800003051758,1688.3020000000001,-1661.3908,-815.54235,-91.968151,-53.226482,-92.450238
86,20200714165139,0.8,0.6,0.5,1.5708,1.5708,1.4660799999999998,-2.14776,-2.15147,-1.45141,0.462592,0.4704060000000001,-0.00269205,23.6800003051758,1688.4862,-1660.9380999999998,-815.64705,-91.88114300000001,-55.224451,-92.42045
87,20200714165143,0.8,0.6,0.5,1.5708,1.5708,1.50098,-2.1514900000000003,-2.14279,-1.46535,0.464925,0.508892,-0.00044233,23.6800003051758,1688.7891,-1660.6441,-815.6923,-92.085701,-57.216788,-92.636889
88,20200714165147,0.8,0.6,0.5,1.5708,1.5708,1.53589,-2.15578,-2.13462,-1.4789,0.470371,0.549309,0.00112502,23.6800003051758,1689.1052,-1660.2899,-815.7045400000002,-92.151289,-59.298998,-92.63397099999999
89,20200714165156,0.8,0.6,0.5,1.5708,1.5708,1.6057,-2.1650400000000003,-2.12039,-1.5024,0.4808310000000001,0.627158,-0.0013879,23.6800003051758,1689.6036000000001,-1659.3022999999998,-815.80611,-92.25270900000001,-63.227441,-92.895202
90,20200714165201,0.8,0.6,0.5,1.5708,1.5708,1.64061,-2.1704,-2.11332,-1.51401,0.4855100000000001,0.668071,-0.0013879,23.6800003051758,1689.8511,-1658.6755999999998,-815.8294,-92.337925,-65.24456,-93.001503
91,20200714165205,0.8,0.6,0.5,1.5708,1.5708,1.67552,-2.1758900000000003,-2.10627,-1.52501,0.488131,0.709677,0.000886084,23.6800003051758,1690.1055000000001,-1658.1518999999998,-815.76374,-92.575327,-67.26889100000001,-93.17903100000001
